#1)itw 2)it 3)tw 4)t 5)C(tw,tw+t) 6)D(tw,tw+t) 7)Y=D/C^2 8)loss 9)var(loss) 10)gradloss 11)var(grad)
0 0 0 0 0.0 0.0 nan 2.3092094685889237 8.735287090200217e-05 0.005753804618149324 0.15614405535385145
0 1 0 1 3.447023795410834e-10 6.095203999401635e-18 0.000901703486489 2.308730950126196 9.55275223741836e-05 0.005608334418654075 0.15484473628367218
1 0 1 0 0.0 0.0 nan 2.308730950126196 9.55275223741836e-05 0.005608334418654075 0.15484473628367218
0 2 0 2 1.3839702393534005e-09 6.608459518841975e-17 0.000606472059912 2.3078983566959117 8.731758536928425e-05 0.005417048650377986 0.15354799591684484
1 1 1 1 5.290784207100462e-10 8.134808191363475e-18 0.000510823991747 2.3078983566959117 8.731758536928425e-05 0.005417048650377986 0.15354799591684484
2 0 2 0 0.0 0.0 nan 2.3078983566959117 8.731758536928425e-05 0.005417048650377986 0.15354799591684484
0 3 0 3 3.1152509300086227e-09 2.5113313112083426e-16 0.000454864463819 2.3070610275168812 8.48774591339918e-05 0.005255968522034901 0.15154496124901112
1 2 1 2 1.892147069559908e-09 1.0900873990894355e-16 0.000535199386234 2.3070610275168812 8.48774591339918e-05 0.005255968522034901 0.15154496124901112
2 1 2 1 5.757980221423977e-10 1.067544356566553e-17 0.000565991172536 2.3070610275168812 8.48774591339918e-05 0.005255968522034901 0.15154496124901112
3 0 3 0 0.0 0.0 nan 2.3070610275168812 8.48774591339918e-05 0.005255968522034901 0.15154496124901112
0 4 0 4 4.931868829989537e-09 4.829497055704416e-16 0.000349014071442 2.306364546644416 7.797416874399943e-05 0.005136787030563846 0.1547005939521789
1 3 1 3 3.484826233680581e-09 2.687341551730125e-16 0.000388977677211 2.306364546644416 7.797416874399943e-05 0.005136787030563846 0.1547005939521789
2 2 2 2 1.6854753960363735e-09 5.735838630629823e-17 0.000354908300289 2.306364546644416 7.797416874399943e-05 0.005136787030563846 0.1547005939521789
3 1 3 1 4.3534267452985504e-10 4.196848285411395e-18 0.000389246623584 2.306364546644416 7.797416874399943e-05 0.005136787030563846 0.1547005939521789
4 0 4 0 0.0 0.0 nan 2.306364546644416 7.797416874399943e-05 0.005136787030563846 0.1547005939521789
0 5 0 5 7.242852019265119e-09 8.483782731196069e-16 0.000284272192953 2.3057619168104986 8.035364715741622e-05 0.005086763291164495 0.15502677387372174
1 4 1 4 5.396842740359912e-09 4.574819148125661e-16 0.000276094954323 2.3057619168104986 8.035364715741622e-05 0.005086763291164495 0.15502677387372174
2 3 2 3 3.1555421697243747e-09 1.4159570633115563e-16 0.000249957500855 2.3057619168104986 8.035364715741622e-05 0.005086763291164495 0.15502677387372174
3 2 3 2 1.4222058224228943e-09 2.4049552756218683e-17 0.000208999942189 2.3057619168104986 8.035364715741622e-05 0.005086763291164495 0.15502677387372174
4 1 4 1 4.72193013789794e-10 2.9194823393203448e-18 0.000230160506218 2.3057619168104986 8.035364715741622e-05 0.005086763291164495 0.15502677387372174
5 0 5 0 0.0 0.0 nan 2.3057619168104986 8.035364715741622e-05 0.005086763291164495 0.15502677387372174
0 6 0 6 1.0778481793500252e-08 2.2380121156339884e-15 0.00033861899356 2.3050367968738725 7.676775079268339e-05 0.00495001197124 0.150544747556
1 5 1 5 8.472987814085162e-09 1.3852182750941002e-15 0.000339163505343 2.3050367968738725 7.676775079268339e-05 0.00495001197124 0.150544747556
2 4 2 4 5.658760531885388e-09 5.971887168485803e-16 0.000327818175082 2.3050367968738725 7.676775079268339e-05 0.00495001197124 0.150544747556
3 3 3 3 3.3204598825007686e-09 1.963250941632533e-16 0.00031299932838 2.3050367968738725 7.676775079268339e-05 0.00495001197124 0.150544747556
4 2 4 2 1.8021546165581636e-09 7.867842696863112e-17 0.000425829394753 2.3050367968738725 7.676775079268339e-05 0.00495001197124 0.150544747556
5 1 5 1 6.634098213042684e-10 2.3496382648856245e-17 0.000938428695309 2.3050367968738725 7.676775079268339e-05 0.00495001197124 0.150544747556
0 7 0 7 1.543158795077928e-08 4.860623645086142e-15 0.000358785451729 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
1 6 1 6 1.2722858632997785e-08 3.3999183730791672e-15 0.000369201242015 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
2 5 2 5 9.319198474847783e-09 1.864621696447603e-15 0.000377396334017 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
3 4 3 4 6.182471714633137e-09 7.652464269359385e-16 0.000351917691828 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
4 3 4 3 4.069684503019449e-09 3.663183500590875e-16 0.000388777619118 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
5 2 5 2 2.3426816137968983e-09 1.8256979647449329e-16 0.000584744922663 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
6 0 7 0 0.0 0.0 nan 2.3041411590120795 6.284504853226736e-05 0.004808059759872144 0.1487361564728643
0 8 0 8 1.9786836565492048e-08 7.126846039240712e-15 0.00031996959372 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
1 7 1 7 1.6751727648097488e-08 5.205612740628725e-15 0.000326074408951 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
2 6 2 6 1.2826517268019448e-08 3.0673304202408598e-15 0.000327723155356 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
3 5 3 5 9.115919917298161e-09 1.3987744383940841e-15 0.000295876689589 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
4 4 4 4 6.535363247652661e-09 7.277235825685009e-16 0.000299496017731 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
5 3 5 3 4.2881988704095755e-09 4.082332192329317e-16 0.000390231723295 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
6 1 7 1 4.51277777979037e-10 3.079982230366162e-18 0.000265842480443 2.303425728082802 7.202074696444072e-05 0.00472898274631 0.154562391545
1 8 1 8 2.0505014946635123e-08 6.9969475527465075e-15 0.000292517938712 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
2 7 2 7 1.6142799527167237e-08 4.344076315569551e-15 0.000293024413668 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
3 6 3 6 1.1920434403320114e-08 2.1668865969336584e-15 0.000268050168839 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
4 5 4 5 8.928393133201745e-09 1.1872579760985987e-15 0.000261795726272 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
5 4 5 4 6.247793861246798e-09 6.871043195201799e-16 0.000309409298298 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
6 2 7 2 1.4854620019840766e-09 3.280793997881227e-17 0.000261348453086 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
7 0 9 0 0.0 0.0 nan 2.3027188036166333 6.56929110292026e-05 0.004694491389086046 0.15149030214367853
0 9 0 10 2.8472136703815146e-08 1.3054406392896447e-14 0.000283061676349 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
2 8 2 8 2.0323935149890728e-08 6.5802385807560365e-15 0.000280020679705 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
3 7 3 7 1.5584835682403833e-08 3.516683186572834e-15 0.000254502970634 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
4 6 4 6 1.2023776296232937e-08 2.0205560233119873e-15 0.000245670600625 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
5 5 5 5 8.934333833541135e-09 1.247536739878728e-15 0.000274721759128 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
6 3 7 3 3.221462583041573e-09 1.3949778513939786e-16 0.000236279038873 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
7 1 9 1 5.46122990308965e-10 8.763557131780827e-18 0.000516491964724 2.302076576886559 6.615647394081492e-05 0.00468439918564 0.150806481395
0 10 0 11 3.3531977978412146e-08 1.7526457626979607e-14 0.000273993253201 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
1 9 1 10 3.0033443302913706e-08 1.4088384756377059e-14 0.000274545934543 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
3 8 3 8 1.974460027472832e-08 5.8181915475463e-15 0.000262334488111 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
4 7 4 7 1.5704098667667286e-08 3.5497890996137956e-15 0.000253011689832 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
5 6 5 6 1.2127630511753562e-08 2.271478736531295e-15 0.000271469365556 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
6 4 7 4 5.770292835099827e-09 5.001215436152978e-16 0.00026402431343 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
7 2 9 2 1.998447354572345e-09 9.940501007507114e-17 0.000437508923901 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
8 0 11 0 0.0 0.0 nan 2.301392334144917 5.925305106568857e-05 0.004702898715122089 0.1483963359970612
0 11 0 12 3.97700144550212e-08 2.4636786297255115e-14 0.000273802005562 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
1 10 1 11 3.6021469274069894e-08 2.036054064657303e-14 0.000275823030448 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
2 9 2 10 3.054134370464546e-08 1.5252368515472835e-14 0.000287425354115 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
4 8 4 8 2.02664882909474e-08 6.2626562699150394e-15 0.000268019034145 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
5 7 5 7 1.6169036056611238e-08 4.227172290772608e-15 0.000284214189437 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
6 5 7 5 9.026607600624014e-09 1.3511469646180162e-15 0.000291485885001 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
7 3 9 3 4.2184851184595926e-09 5.07933512226742e-16 0.000501715930449 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
8 1 11 1 6.351796419100963e-10 2.1019434783451988e-17 0.000915781697484 2.300679471862096 6.780895043689839e-05 0.00467698611947 0.152308671679
1 11 1 12 4.1767757721903773e-08 2.8124188442283053e-14 0.000283375137167 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
2 10 2 11 3.5955285911516025e-08 2.1725256422363552e-14 0.00029539523417 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
