#1)time 2)train_acc 3)test_acc 4)train_loss 5)test_loss
0 0.0881 0.086 2.3092094685889215 2.308976400882819
1 0.08946 0.0877 2.3087309501261952 2.3084926751157613
2 0.09226 0.0911 2.3078983566959104 2.307675808453983
3 0.09306 0.093 2.307061027516882 2.3068406542125652
4 0.09278 0.0933 2.3063645466444167 2.306138142364225
5 0.09434 0.093 2.3057619168104986 2.3055316503458942
6 0.09436 0.0937 2.3050367968738743 2.3048080662544397
7 0.09432 0.0925 2.304141159012077 2.303901476786737
8 0.0957 0.0941 2.3034257280828023 2.303180070421928
9 0.0966 0.095 2.3027188036166315 2.302461201276894
11 0.0966 0.0962 2.301392334144916 2.3010925390539336
12 0.09808 0.0982 2.300679471862093 2.3003810564378906
14 0.10022 0.0998 2.2993116559913056 2.2990162848114766
16 0.10732 0.1067 2.2976994228930425 2.297408902669021
19 0.11894 0.1172 2.2955013838075384 2.2952291023067106
22 0.12618 0.1275 2.2930769884246103 2.292825806828874
25 0.13184 0.1327 2.290911829067586 2.2906408871703094
28 0.13806 0.1385 2.2888759737120083 2.288586877748714
33 0.14948 0.1472 2.2850847584183644 2.2847692962110626
38 0.15928 0.1533 2.280757887682094 2.2803924885190776
43 0.16444 0.1609 2.2763220271138707 2.2759122084628762
50 0.17416 0.1705 2.268332186297514 2.2678074633082432
57 0.18014 0.1796 2.257927123183723 2.2573402349362306
66 0.1866 0.1852 2.2422809535377484 2.2415813761337966
76 0.21742 0.2163 2.2168871655403333 2.2158066035836645
87 0.22896 0.2306 2.178762999956313 2.176648913948713
100 0.23444 0.2344 2.130975083860961 2.12773779151964
115 0.2453 0.2504 2.0907857056295556 2.0869863834877647
132 0.27084 0.2761 2.057986928903132 2.052603688150559
152 0.27198 0.2743 2.0099672715312558 2.0043816228897473
175 0.29656 0.3035 1.9788575525621521 1.9711363263627426
201 0.29848 0.3071 1.949916984114893 1.9432092587191216
231 0.31552 0.3208 1.8958076319234445 1.889735674003551
266 0.32468 0.328 1.8708600205335955 1.86518739100569
305 0.35258 0.3597 1.8061773386633215 1.79772389037078
351 0.37706 0.3784 1.7432886457746228 1.737416193014831
404 0.38338 0.388 1.6924824023176477 1.6856578358575187
464 0.40356 0.4022 1.6608697935545707 1.6571583906905378
534 0.42392 0.4232 1.6005341256385404 1.5981947503831353
614 0.43558 0.4392 1.5587121701610174 1.5578763204271648
705 0.44384 0.4482 1.535527256308399 1.5358039113007005
811 0.4726 0.4744 1.4784167833663269 1.4801503387937287
933 0.47678 0.4769 1.4505980547561552 1.4578706676019386
1072 0.48944 0.4878 1.4186416033175964 1.4253280951451583
1233 0.50152 0.4982 1.3893050296267881 1.4087998958204935
1417 0.51246 0.4988 1.3615245301188108 1.3767901151254576
1630 0.53104 0.526 1.3178927642683413 1.3402834890489872
1874 0.54526 0.5303 1.2813898046351218 1.308796949876076
